model,feature_set,validation_log_loss,validation_brier,test_log_loss,test_brier,delta_vs_market_log_loss,delta_vs_odds_only_log_loss,folds_beating_market,selected_threshold,test_trades,test_roi,test_pnl,test_max_drawdown,median_back_clv_ratio,median_back_clv_pct,positive_back_clv_rate,ablation_status
logistic_regression,odds_only,0.9600247854146016,0.5705027360738513,0.9785512964327704,0.58220713090039,0.002713650812553925,0.0,1,0.01,799,-0.1324137296620776,-528.99285,555.6825,0.9933333333333333,-0.666666666666671,0.4793491864831039,NEUTRAL
logistic_regression,odds_elo,0.962171244247318,0.5717708807908386,0.9767620266457488,0.5811921263571825,0.0009243810255323837,0.002146458832716469,1,0.01,1095,-0.04429061187214612,-242.49110000000002,433.1568,0.9947058823529412,-0.5294117647058783,0.4858447488584475,DEGRADES
logistic_regression,odds_form,0.9620386608977748,0.5718880899034288,0.9801532905537889,0.5830033503214574,0.004315644933572393,0.002013875483173222,1,0.05,607,-0.12932553542009886,-392.50300000000004,416.76410000000004,0.9895238095238096,-1.0476190476190417,0.4497528830313015,DEGRADES
logistic_regression,odds_goals,0.9625483060730418,0.5720053742101608,0.9780870032400545,0.5818729509966588,0.0022493576198380216,0.0025235206584401926,0,0.05,351,-0.09058384615384617,-158.97465000000003,221.69934999999998,0.9986486486486486,-0.13513513513514486,0.49572649572649574,DEGRADES
logistic_regression,odds_elo_form,0.9659535324045777,0.5742823253851882,0.9809250324070732,0.5836267169236419,0.005087386786856718,0.005928746989976141,0,0.01,1504,-0.06474977393617021,-486.9183,577.8708999999998,0.9884219858156028,-1.157801418439719,0.43816489361702127,DEGRADES
logistic_regression,odds_team_strength_all,0.9715886493748382,0.5759785909921217,0.9886339869456364,0.5845721353745004,0.012796341325419958,0.011563863960236676,0,0.01,1610,-0.08570045341614907,-689.88865,817.9445500000004,0.9890909090909091,-1.0909090909090868,0.446583850931677,DEGRADES
hist_gradient_boosting,odds_elo,0.9931839895703892,0.5880135535432776,1.0058335354758592,0.599438815729527,0.02999588985564272,0.03315920415578766,0,0.01,1919,-0.06757494528400208,-648.3815999999999,918.8813500000006,0.987843137254902,-1.2156862745097974,0.44085461177696716,DEGRADES
hist_gradient_boosting,odds_form,1.040140141803784,0.6200523605756918,1.0808422320108617,0.6469509039017355,0.10500458639064525,0.08011535638918232,0,0.05,2065,-0.08242514285714285,-851.0396,970.7067999999998,0.9858823529411764,-1.4117647058823568,0.41840193704600487,DEGRADES
hist_gradient_boosting,odds_goals,0.9875810907378717,0.5870910168456067,1.0006869642290286,0.5966666353726087,0.02484931860881212,0.027556305323270136,0,0.1,1253,-0.11217653631284916,-702.786,857.5707000000008,0.9871428571428571,-1.28571428571429,0.44373503591380686,DEGRADES
hist_gradient_boosting,odds_elo_form,1.0103129329062432,0.6002771357794208,1.0435341278718417,0.6217409968621211,0.06769648225162528,0.05028814749164168,0,0.05,1970,-0.11156513705583757,-1098.9166,1343.6965999999998,0.9861538461538462,-1.3846153846153841,0.43248730964467,DEGRADES
hist_gradient_boosting,odds_team_strength_all,1.0019066988742193,0.5950651247608716,1.0370512286769722,0.6178502857750598,0.06121358305675573,0.04188191345961778,0,0.075,1875,-0.09285448533333332,-870.5107999999999,1170.0866999999998,0.9860606060606061,-1.3939393939393918,0.43306666666666666,DEGRADES
